Name,Gene,Backbone,Antibiotic,Inducer
pWAC1,eYFP\textsuperscript{A206K}-cheZ,pBAD33,Cam,Ara
pWAC2,tsr-eYFP\textsuperscript{A206K},pTRC99a,Amp,IPTG
pWAC3,eYFP\textsuperscript{A206K}-cheZ,pTRC99a,Amp,IPTG
pWAC4,tar-eYFP\textsuperscript{A206K},pTRC99a,Amp,IPTG
